,date,top_artists,top_1,top_2,top_3
130,2023-05-11,"['Jamie Foxx', 'Hannah Waddingham', 'XXXTentacion']",Jamie Foxx,Hannah Waddingham,XXXTentacion
131,2023-05-12,"['Hannah Waddingham', 'Jamie Foxx', 'Priyanka Chopra']",Hannah Waddingham,Jamie Foxx,Priyanka Chopra
132,2023-05-13,"['Hannah Waddingham', 'Taylor Swift', 'Priyanka Chopra']",Hannah Waddingham,Taylor Swift,Priyanka Chopra
133,2023-05-14,"['Hannah Waddingham', 'Taylor Swift', 'Kate Winslet']",Hannah Waddingham,Taylor Swift,Kate Winslet
134,2023-05-15,"['Hannah Waddingham', 'Kate Winslet', 'Taylor Swift']",Hannah Waddingham,Kate Winslet,Taylor Swift
135,2023-05-16,"['XXXTentacion', 'Kim Petras', 'Taylor Swift']",XXXTentacion,Kim Petras,Taylor Swift
136,2023-05-17,"['XXXTentacion', 'Taylor Swift', 'Kim Petras']",XXXTentacion,Taylor Swift,Kim Petras
137,2023-05-18,"['XXXTentacion', 'Taylor Swift', 'Johnny Depp']",XXXTentacion,Taylor Swift,Johnny Depp
138,2023-05-19,"['XXXTentacion', 'Nick Cannon', 'Taylor Swift']",XXXTentacion,Nick Cannon,Taylor Swift
139,2023-05-20,"['Nick Cannon', 'XXXTentacion', 'Taylor Swift']",Nick Cannon,XXXTentacion,Taylor Swift
140,2023-05-21,"['Donna Summer', 'Nick Cannon', 'XXXTentacion']",Donna Summer,Nick Cannon,XXXTentacion
141,2023-05-22,"['Nick Cannon', 'XXXTentacion', 'Lauren Daigle']",Nick Cannon,XXXTentacion,Lauren Daigle
142,2023-05-23,"['XXXTentacion', 'Nick Cannon', 'Taylor Swift']",XXXTentacion,Nick Cannon,Taylor Swift
143,2023-05-24,"['Tina Turner', 'Niall Horan', 'XXXTentacion']",Tina Turner,Niall Horan,XXXTentacion
144,2023-05-25,"['Tina Turner', 'XXXTentacion', 'Taylor Swift']",Tina Turner,XXXTentacion,Taylor Swift
145,2023-05-26,"['Tina Turner', 'XXXTentacion', 'Taylor Swift']",Tina Turner,XXXTentacion,Taylor Swift
146,2023-05-27,"['Tina Turner', 'XXXTentacion', 'Taylor Swift']",Tina Turner,XXXTentacion,Taylor Swift
147,2023-05-28,"['Tina Turner', 'XXXTentacion', 'Taylor Swift']",Tina Turner,XXXTentacion,Taylor Swift
148,2023-05-29,"['Tina Turner', 'Sidhu Moose Wala', 'XXXTentacion']",Tina Turner,Sidhu Moose Wala,XXXTentacion
149,2023-05-30,"['Tina Turner', 'Bruce Willis', 'Bee Gees']",Tina Turner,Bruce Willis,Bee Gees
150,2023-05-31,"['Tina Turner', 'Bruce Willis', ""Beverly D'Angelo""]",Tina Turner,Bruce Willis,Beverly D'Angelo
151,2023-06-01,"['Bruce Willis', 'Tina Turner', 'Andrew Lloyd Webber']",Bruce Willis,Tina Turner,Andrew Lloyd Webber
152,2023-06-02,"['Tina Turner', 'Bruce Willis', 'Jamie Foxx']",Tina Turner,Bruce Willis,Jamie Foxx
153,2023-06-03,"['Tina Turner', 'Taylor Swift', 'XXXTentacion']",Tina Turner,Taylor Swift,XXXTentacion
154,2023-06-04,"['Tina Turner', 'Taylor Swift', 'Tila Tequila']",Tina Turner,Taylor Swift,Tila Tequila
155,2023-06-05,"['Taylor Swift', 'Vanessa Paradis', 'Tina Turner']",Taylor Swift,Vanessa Paradis,Tina Turner
156,2023-06-06,"['Astrud Gilberto', 'Taylor Swift', 'Kanye West']",Astrud Gilberto,Taylor Swift,Kanye West
157,2023-06-07,"['Astrud Gilberto', 'Taylor Swift', 'XXXTentacion']",Astrud Gilberto,Taylor Swift,XXXTentacion
158,2023-06-08,"['Taylor Swift', 'XXXTentacion', 'Astrud Gilberto']",Taylor Swift,XXXTentacion,Astrud Gilberto
159,2023-06-09,"['Taylor Swift', 'Johnny Depp', 'XXXTentacion']",Taylor Swift,Johnny Depp,XXXTentacion
160,2023-06-10,"['Barry Manilow', 'Taylor Swift', 'XXXTentacion']",Barry Manilow,Taylor Swift,XXXTentacion
161,2023-06-11,"['Taylor Swift', 'Freddie Mercury', 'XXXTentacion']",Taylor Swift,Freddie Mercury,XXXTentacion
162,2023-06-12,"['BTS', 'Ariana DeBose', 'Taylor Swift']",BTS,Ariana DeBose,Taylor Swift
163,2023-06-13,"['Ezra Miller', 'XXXTentacion', 'Taylor Swift']",Ezra Miller,XXXTentacion,Taylor Swift
164,2023-06-14,"['Ezra Miller', 'XXXTentacion', 'Eminem']",Ezra Miller,XXXTentacion,Eminem
165,2023-06-15,"['XXXTentacion', 'Ezra Miller', 'Eminem']",XXXTentacion,Ezra Miller,Eminem
166,2023-06-16,"['Ezra Miller', 'Golshifteh Farahani', 'XXXTentacion']",Ezra Miller,Golshifteh Farahani,XXXTentacion
